tweet_id,comment_id,username,comment_datetime_utc,comment_text,true_sentiment
tweet_000001,c_00001,username_001,2026-02-21T23:48:41Z,"Love the utilitarian focus. If specs hold, I'm in. (towing) 🔥",positive
tweet_000001,c_00002,username_002,2026-02-20T08:42:48Z,Not convinced this is practical day-to-day. (software updates) 😕,negative
tweet_000001,c_00003,username_003,2026-02-20T17:10:14Z,Design is… not for me. (range),negative
tweet_000001,c_00004,username_004,2026-02-22T00:34:23Z,What’s the estimated lead time? (charging),neutral
tweet_000001,c_00005,username_005,2026-02-20T01:43:23Z,Finally! Can't wait to see these on the road. 🔥,positive
tweet_000001,c_00006,username_006,2026-02-20T16:55:43Z,Looks like Tesla is pushing boundaries again. (software updates) ✅,positive
tweet_000001,c_00007,username_007,2026-02-21T21:12:43Z,AWD option is a big win. 🔥,positive
tweet_000001,c_00008,username_008,2026-02-21T16:17:48Z,Limited-time offers feel gimmicky.,negative
tweet_000001,c_00009,username_009,2026-02-21T17:26:54Z,Is the limited-time offer available everywhere?,neutral
tweet_000001,c_00010,username_010,2026-02-21T03:35:00Z,So many delays… what's different now? (price) 🙄,negative
tweet_000001,c_00011,username_011,2026-02-20T22:19:21Z,"Love the utilitarian focus. If specs hold, I'm in.",positive
tweet_000001,c_00012,username_012,2026-02-21T04:55:47Z,Specs keep changing — hard to plan. (stainless steel) ⚠️,negative
tweet_000001,c_00013,username_013,2026-02-20T16:30:21Z,Specs keep changing — hard to plan.,negative
tweet_000001,c_00014,username_014,2026-02-20T06:26:57Z,Design grows on you. The utility matters most.,positive
tweet_000001,c_00015,username_015,2026-02-20T19:04:35Z,Finally! Can't wait to see these on the road. (towing),positive
tweet_000001,c_00016,username_016,2026-02-21T23:51:12Z,I like the direction — keep iterating. (stainless steel),positive
tweet_000001,c_00017,username_017,2026-02-20T05:19:23Z,The engineering is wild. Congrats to the team!,positive
tweet_000001,c_00018,username_018,2026-02-21T06:27:42Z,Is the limited-time offer available everywhere? (serviceability),neutral
tweet_000001,c_00019,username_019,2026-02-21T00:09:50Z,The engineering is wild. Congrats to the team! ⚡,positive
tweet_000001,c_00020,username_020,2026-02-21T10:39:45Z,Finally! Can't wait to see these on the road. (AWD),positive
tweet_000001,c_00021,username_021,2026-02-21T16:29:49Z,Is the limited-time offer available everywhere?,neutral
tweet_000001,c_00022,username_022,2026-02-21T19:44:29Z,Take my money. (kidding… mostly) 😄 (delivery),positive
tweet_000001,c_00023,username_023,2026-02-20T07:52:11Z,This is awesome — Cybertruck looks like the future! 🚀 🔥,positive
tweet_000001,c_00024,username_024,2026-02-21T07:59:26Z,Design grows on you. The utility matters most. (software updates),positive
tweet_000001,c_00025,username_025,2026-02-21T11:19:56Z,What’s the estimated lead time? (build quality),neutral
tweet_000001,c_00026,username_026,2026-02-20T02:05:09Z,Limited-time offers feel gimmicky.,negative
tweet_000001,c_00027,username_027,2026-02-20T20:40:46Z,Looks like Tesla is pushing boundaries again. (software updates) 🚀,positive
tweet_000001,c_00028,username_028,2026-02-20T20:25:45Z,What’s the estimated lead time?,neutral
tweet_000001,c_00029,username_029,2026-02-20T08:59:54Z,Is the limited-time offer available everywhere?,neutral
tweet_000001,c_00030,username_030,2026-02-20T15:44:03Z,Finally! Can't wait to see these on the road. (delivery),positive
tweet_000001,c_00031,username_031,2026-02-21T15:52:09Z,Interesting update. Any details on range and pricing? (charging) 🧐,neutral
tweet_000001,c_00032,username_032,2026-02-20T23:38:32Z,The engineering is wild. Congrats to the team! (serviceability),positive
tweet_000001,c_00033,username_033,2026-02-20T07:29:13Z,This could be great for work sites and towing.,positive
tweet_000001,c_00034,username_034,2026-02-21T16:02:25Z,I’ll believe it when I see consistent deliveries. (charging),negative
tweet_000001,c_00035,username_035,2026-02-20T13:16:27Z,Specs keep changing — hard to plan. (serviceability),negative
tweet_000001,c_00036,username_036,2026-02-20T16:40:21Z,Not convinced this is practical day-to-day.,negative
tweet_000001,c_00037,username_037,2026-02-20T23:56:54Z,Take my money. (kidding… mostly) 😄,positive
tweet_000001,c_00038,username_038,2026-02-21T09:09:05Z,I like the direction — keep iterating. (AWD) ✅,positive
tweet_000001,c_00039,username_039,2026-02-20T02:46:54Z,So many delays… what's different now? (serviceability) 😕,negative
tweet_000001,c_00040,username_040,2026-02-21T23:12:19Z,This is awesome — Cybertruck looks like the future! 🚀 (range),positive
tweet_000001,c_00041,username_041,2026-02-20T06:24:34Z,I like the direction — keep iterating. (efficiency),positive
tweet_000001,c_00042,username_042,2026-02-21T16:30:56Z,Curious about charging speed on 800V.,neutral
tweet_000001,c_00043,username_043,2026-02-21T19:12:30Z,This could be great for work sites and towing. (charging),positive
tweet_000001,c_00044,username_044,2026-02-20T15:06:54Z,Limited-time offers feel gimmicky. (software updates),negative
